[9G0I] ✓ Exactas: 0 | Distancia: 412 | Pep: 14 | Fallos: 8
[7GGH] ✓ Exactas: 588 | Distancia: 20 | Pep: 11 | Fallos: 10
[7GKE] ✓ Exactas: 554 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GM0] ✓ Exactas: 629 | Distancia: 14 | Pep: 11 | Fallos: 7
[8UR9] ✓ Exactas: 0 | Distancia: 420 | Pep: 18 | Fallos: 3
[7GMG] ✓ Exactas: 599 | Distancia: 15 | Pep: 9 | Fallos: 8
[7M8M] ✓ Exactas: 0 | Distancia: 370 | Pep: 16 | Fallos: 5
[7M8X] ✓ Exactas: 0 | Distancia: 758 | Pep: 15 | Fallos: 8
[7GJM] ✓ Exactas: 288 | Distancia: 8 | Pep: 9 | Fallos: 4
[7GL0] ✓ Exactas: 343 | Distancia: 8 | Pep: 10 | Fallos: 5
[7GI5] ✓ Exactas: 393 | Distancia: 8 | Pep: 15 | Fallos: 1
[7GB6] ✓ Exactas: 608 | Distancia: 10 | Pep: 11 | Fallos: 6
[8UDQ] ✓ Exactas: 770 | Distancia: 10 | Pep: 17 | Fallos: 6
[7GIC] ✓ Exactas: 526 | Distancia: 14 | Pep: 9 | Fallos: 12
[7GL7] ✓ Exactas: 646 | Distancia: 14 | Pep: 9 | Fallos: 7
[7GGX] ✓ Exactas: 610 | Distancia: 16 | Pep: 9 | Fallos: 6
[7TEL] ✓ Exactas: 834 | Distancia: 28 | Pep: 13 | Fallos: 8
[7GEW] ✓ Exactas: 584 | Distancia: 16 | Pep: 8 | Fallos: 8
[7GJW] ✓ Exactas: 378 | Distancia: 8 | Pep: 12 | Fallos: 4
[7GDI] ✓ Exactas: 518 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GKH] ✓ Exactas: 262 | Distancia: 5 | Pep: 9 | Fallos: 5
[7GFM] ✓ Exactas: 690 | Distancia: 22 | Pep: 11 | Fallos: 10
[7GIO] ✓ Exactas: 551 | Distancia: 16 | Pep: 9 | Fallos: 12
[7GGE] ✓ Exactas: 650 | Distancia: 22 | Pep: 13 | Fallos: 8
[7GJD] ✓ Exactas: 560 | Distancia: 15 | Pep: 9 | Fallos: 10
[7GFX] ✓ Exactas: 526 | Distancia: 12 | Pep: 8 | Fallos: 6
[7GIR] ✓ Exactas: 572 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GG7] ✓ Exactas: 690 | Distancia: 26 | Pep: 14 | Fallos: 10
[7GJI] ✓ Exactas: 570 | Distancia: 17 | Pep: 9 | Fallos: 8
[7GMQ] ✓ Exactas: 575 | Distancia: 17 | Pep: 9 | Fallos: 10
[7M8Y] ✓ Exactas: 0 | Distancia: 816 | Pep: 17 | Fallos: 6
[7GKN] ✓ Exactas: 592 | Distancia: 17 | Pep: 9 | Fallos: 7
[7GN7] ✓ Exactas: 305 | Distancia: 10 | Pep: 9 | Fallos: 3
[7GJS] ✓ Exactas: 305 | Distancia: 7 | Pep: 9 | Fallos: 6
[7M8Z] ✓ Exactas: 0 | Distancia: 784 | Pep: 15 | Fallos: 10
[7GK6] ✓ Exactas: 275 | Distancia: 7 | Pep: 9 | Fallos: 7
[7GEB] ✓ Exactas: 564 | Distancia: 2 | Pep: 8 | Fallos: 4
[7GMW] ✓ Exactas: 302 | Distancia: 9 | Pep: 9 | Fallos: 5
[7GIM] ✓ Exactas: 556 | Distancia: 13 | Pep: 9 | Fallos: 10
[8SXR] ✓ Exactas: 720 | Distancia: 24 | Pep: 12 | Fallos: 13
[8ZUB] ✓ Exactas: 449 | Distancia: 8 | Pep: 14 | Fallos: 5
[7GGM] ✓ Exactas: 560 | Distancia: 16 | Pep: 8 | Fallos: 10
[7GMS] ✓ Exactas: 332 | Distancia: 8 | Pep: 11 | Fallos: 3
[7GJ6] ✓ Exactas: 563 | Distancia: 13 | Pep: 9 | Fallos: 12
[7GNK] ✓ Exactas: 613 | Distancia: 17 | Pep: 11 | Fallos: 9
[7GGQ] ✓ Exactas: 588 | Distancia: 16 | Pep: 9 | Fallos: 8
[7GKU] ✓ Exactas: 569 | Distancia: 12 | Pep: 9 | Fallos: 10
[7GH6] ✓ Exactas: 596 | Distancia: 14 | Pep: 11 | Fallos: 8
[7GLK] ✓ Exactas: 575 | Distancia: 15 | Pep: 11 | Fallos: 10
[7GMF] ✓ Exactas: 591 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GGI] ✓ Exactas: 582 | Distancia: 10 | Pep: 8 | Fallos: 8
[7GMP] ✓ Exactas: 286 | Distancia: 7 | Pep: 9 | Fallos: 4
[7GIW] ✓ Exactas: 279 | Distancia: 9 | Pep: 9 | Fallos: 4
[7GNS] ✓ Exactas: 666 | Distancia: 19 | Pep: 11 | Fallos: 7
[8R16] ✓ Exactas: 527 | Distancia: 11 | Pep: 8 | Fallos: 5
[7GIE] ✓ Exactas: 292 | Distancia: 7 | Pep: 9 | Fallos: 5
[7S4B] ✓ Exactas: 544 | Distancia: 20 | Pep: 8 | Fallos: 8
[7GK1] ✓ Exactas: 296 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GM3] ✓ Exactas: 569 | Distancia: 14 | Pep: 9 | Fallos: 11
[8R12] ✓ Exactas: 629 | Distancia: 6 | Pep: 11 | Fallos: 6
[7M91] ✓ Exactas: 0 | Distancia: 808 | Pep: 15 | Fallos: 12
[7GGC] ✓ Exactas: 424 | Distancia: 6 | Pep: 9 | Fallos: 6
[9NU6] ✓ Exactas: 441 | Distancia: 3 | Pep: 13 | Fallos: 5
[7GFA] ✓ Exactas: 586 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GM5] ✓ Exactas: 542 | Distancia: 13 | Pep: 10 | Fallos: 8
[7GBV] ✓ Exactas: 554 | Distancia: 14 | Pep: 9 | Fallos: 6
[7GE1] ✓ Exactas: 614 | Distancia: 12 | Pep: 11 | Fallos: 6
[7GKP] ✓ Exactas: 269 | Distancia: 6 | Pep: 8 | Fallos: 5
[7M8O] ✓ Exactas: 0 | Distancia: 416 | Pep: 18 | Fallos: 7
[7GJ1] ✓ Exactas: 532 | Distancia: 15 | Pep: 9 | Fallos: 9
[7GH5] ✓ Exactas: 534 | Distancia: 12 | Pep: 9 | Fallos: 8
[9HAJ] ✓ Exactas: 356 | Distancia: 8 | Pep: 15 | Fallos: 2
[7GIB] ✓ Exactas: 550 | Distancia: 17 | Pep: 9 | Fallos: 9
